N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"78,700",300,-0.38%,100,"4,698,219","5,969,783",53.19,"5,888,218",18.90,9.99,
2,SK하이닉스,"113,000","1,000",-0.88%,"5,000","822,643","728,002",48.38,"1,343,676",16.14,9.53,
3,NAVER,"436,000","3,500",-0.80%,100,"716,188","164,263",56.62,"320,784",4.44,15.22,
4,카카오,"148,500",0,0.00%,100,"660,023","444,460",31.92,"966,002",216.16,2.70,
5,삼성전자우,"72,400",200,-0.28%,100,"595,770","822,887",75.67,"398,537",17.38,N/A,
6,삼성바이오로직스,"896,000","15,000",-1.65%,"2,500","592,838","66,165",10.36,"43,482",223.44,N/A,
7,LG화학,"837,000","2,000",+0.24%,"5,000","590,858","70,592",47.04,"209,244",36.44,2.93,
8,삼성SDI,"745,000","20,000",-2.61%,"5,000","512,296","68,765",43.57,"182,363",72.97,4.54,
9,현대차,"219,500","2,500",-1.13%,"5,000","469,002","213,668",28.91,"465,899",26.56,2.04,
10,셀트리온,"257,000","4,500",-1.72%,"1,000","354,445","137,917",20.37,"276,089",58.96,16.68,
11,기아,"84,800","1,500",-1.74%,"5,000","343,748","405,363",33.31,"1,082,008",15.23,5.05,
12,POSCO,"365,000","6,000",+1.67%,"5,000","318,232","87,187",54.34,"299,485",14.26,3.61,
13,삼성물산,"141,000","3,000",-2.08%,100,"263,511","186,887",15.04,"221,502",16.80,3.81,
14,LG전자,"159,500","7,000",-4.20%,"5,000","261,018","163,648",31.96,"1,243,070",14.86,13.23,
15,현대모비스,"268,500","4,500",-1.65%,"5,000","254,519","94,793",35.73,"170,090",14.33,4.66,
16,SK이노베이션,"255,000","3,000",-1.16%,"5,000","235,787","92,466",22.91,"223,887",-24.11,-13.58,
17,LG생활건강,"1,462,000","28,000",-1.88%,"5,000","228,338","15,618",45.64,"32,825",31.51,17.92,
18,SK텔레콤,"307,000","5,500",-1.76%,500,"221,225","72,060",46.63,"90,025",14.14,6.44,
19,KB금융,"51,100","1,500",-2.85%,"5,000","212,478","415,808",67.28,"852,664",5.32,8.53,
20,신한지주,"39,000","1,050",-2.62%,"5,000","201,474","516,600",60.15,"1,048,423",5.47,8.20,
21,SK,"270,000","3,000",-1.10%,200,"189,973","70,360",20.15,"80,056",31.44,1.11,
22,엔씨소프트,"832,000","9,000",-1.07%,500,"182,657","21,954",51.59,"41,909",38.63,20.83,
23,HMM,"39,700","1,100",-2.70%,"5,000","160,941","405,392",9.40,"4,965,255",37.63,8.93,
24,SK아이이테크놀로지,"225,000",0,0.00%,"1,000","160,420","71,298",7.77,"245,651",N/A,11.00,
25,한국전력,"24,900",150,-0.60%,"5,000","159,849","641,964",15.25,"707,791",7.78,2.91,
26,삼성생명,"75,600","1,100",-1.43%,500,"151,200","200,000",13.12,"127,759",7.12,3.53,
27,LG,"94,500","1,900",-1.97%,"5,000","148,649","157,301",33.24,"219,222",8.67,7.50,
28,삼성전기,"192,500",500,+0.26%,"5,000","143,785","74,694",32.14,"304,633",21.18,10.92,
29,삼성에스디에스,"183,500","1,500",-0.81%,500,"141,988","77,378",11.76,"50,773",22.56,6.71,
30,하나금융지주,"43,350","1,350",-3.02%,"5,000","130,155","300,242",67.76,"633,903",4.62,8.96,
31,SK바이오사이언스,"169,500","1,500",-0.88%,500,"129,668","76,500",3.98,"733,648",131.70,13.25,
